Date,close
2024-01-17,100.0
2024-01-18,100.0
2024-01-19,100.0
2024-01-23,100.1995
2024-01-24,100.22
2024-01-25,100.29
2024-01-29,100.31
2024-01-30,100.33
2024-01-31,100.35
2024-02-01,100.36
2024-02-02,100.42
2024-02-05,100.43
2024-02-06,100.45
2024-02-07,100.46
2024-02-08,100.48
2024-02-09,100.53
2024-02-12,100.55
2024-02-13,100.56
2024-02-14,100.59
2024-02-15,100.61
2024-02-16,100.68
2024-02-19,100.68
2024-02-20,100.69
2024-02-21,100.71
2024-02-22,100.73
2024-02-23,100.78
2024-02-26,100.8
2024-02-27,100.81
2024-02-28,100.83
2024-02-29,100.85
2024-03-01,100.9
2024-03-04,100.92
2024-03-05,100.93
2024-03-06,100.95
2024-03-07,101.02
2024-03-11,101.04
2024-03-12,101.06
2024-03-13,101.07
2024-03-14,101.09
2024-03-15,101.14
2024-03-18,101.16
2024-03-19,101.18
2024-03-20,101.19
2024-03-21,101.21
2024-03-22,101.28
2024-03-26,101.3
2024-03-27,101.32
2024-03-28,101.41
2024-04-01,101.4
2024-04-02,101.43
2024-04-03,101.45
2024-04-04,101.46
2024-04-05,101.51
2024-04-08,101.55
2024-04-09,101.55
2024-04-10,101.58
2024-04-12,101.64
2024-04-15,101.65
2024-04-16,101.69
2024-04-18,101.7
2024-04-19,101.75
2024-04-22,101.77
2024-04-23,101.79
2024-04-24,101.81
2024-04-25,101.82
2024-04-26,101.88
2024-04-29,101.89
2024-04-30,101.93
2024-05-02,101.95
2024-05-03,102.0
2024-05-06,102.01
2024-05-07,102.03
2024-05-08,102.05
2024-05-09,102.07
2024-05-10,102.12
2024-05-13,102.14
2024-05-14,102.16
2024-05-15,102.17
2024-05-16,102.19
2024-05-17,102.26
2024-05-21,102.28
2024-05-22,102.31
2024-05-23,102.31
2024-05-24,102.37
2024-05-27,102.39
2024-05-28,102.4
2024-05-29,102.42
2024-05-30,102.43
2024-05-31,102.48
2024-06-03,102.51
2024-06-04,102.51
2024-06-05,102.54
2024-06-06,102.56
2024-06-07,102.61
2024-06-10,102.63
2024-06-11,102.64
2024-06-12,102.65
2024-06-13,102.68
2024-06-14,102.75
2024-06-18,102.77
2024-06-19,102.78
2024-06-20,102.8
2024-06-21,102.86
2024-06-24,102.87
2024-06-25,102.88
2024-06-26,102.91
2024-06-27,102.93
2024-06-28,102.98
2024-07-01,103.0
2024-07-02,103.02
2024-07-03,103.03
2024-07-04,103.05
2024-07-05,103.11
2024-07-08,103.12
2024-07-09,103.14
2024-07-10,103.16
2024-07-11,103.17
2024-07-12,103.23
2024-07-15,103.24
2024-07-16,103.28
2024-07-18,103.29
2024-07-19,103.34
2024-07-22,103.36
2024-07-23,103.38
2024-07-24,103.4
2024-07-25,103.42
2024-07-26,103.47
2024-07-29,103.49
