Date,close
2021-08-30,182.57
2021-08-31,184.55
2021-09-01,184.31
2021-09-02,185.96
2021-09-03,186.91
2021-09-06,187.55
2021-09-07,187.17
2021-09-08,187.14
2021-09-09,187.42
2021-09-13,187.11
2021-09-14,187.54
2021-09-15,189.01
2021-09-16,190.22
2021-09-17,189.82
2021-09-20,187.86
2021-09-21,189.66
2021-09-22,189.69
2021-09-23,192.29
2021-09-24,192.63
2021-09-27,192.79
2021-09-28,191.44
2021-09-29,191.15
2021-09-30,190.11
2021-10-01,189.22
2021-10-04,191.03
2021-10-05,192.2
2021-10-06,190.19
2021-10-07,191.82
2021-10-08,192.58
2021-10-11,193.09
2021-10-12,193.66
2021-10-13,195.56
2021-10-14,197.11
2021-10-18,198.91
2021-10-19,198.41
2021-10-20,197.3
2021-10-21,196.08
2021-10-22,195.68
2021-10-25,195.71
2021-10-26,197.13
2021-10-27,196.54
2021-10-28,193.68
2021-10-29,191.16
2021-11-01,193.84
2021-11-02,193.1
2021-11-03,192.58
2021-11-04,193.59
2021-11-08,195.37
2021-11-09,194.88
2021-11-10,194.66
2021-11-11,193.25
2021-11-12,195.46
2021-11-15,195.52
2021-11-16,194.47
2021-11-17,193.53
2021-11-18,192.14
2021-11-22,188.53
2021-11-23,189.4
2021-11-24,188.25
2021-11-25,189.51
2021-11-26,184.51
2021-11-29,184.55
2021-11-30,183.7
2021-12-01,185.72
2021-12-02,187.99
2021-12-03,186.0
2021-12-06,183.01
2021-12-07,185.71
2021-12-08,188.48
2021-12-09,189.14
2021-12-10,189.09
2021-12-13,187.9
2021-12-14,187.33
2021-12-15,186.25
2021-12-16,186.62
2021-12-17,183.77
2021-12-20,179.93
2021-12-21,181.45
2021-12-22,183.33
2021-12-23,184.1
2021-12-24,183.45
2021-12-27,184.55
2021-12-28,186.3
2021-12-29,186.12
2021-12-30,186.14
2021-12-31,187.79
2022-01-03,190.72
2022-01-04,192.46
2022-01-05,193.34
2022-01-06,191.92
2022-01-07,192.42
2022-01-10,194.35
2022-01-11,194.69
2022-01-12,196.2
2022-01-13,197.0
2022-01-14,197.36
2022-01-17,198.03
2022-01-18,195.97
2022-01-19,194.18
2022-01-20,192.18
2022-01-21,190.64
2022-01-24,185.79
2022-01-25,187.07
2022-01-27,185.33
2022-01-28,185.1
2022-01-31,187.63
2022-02-01,189.7
2022-02-02,192.12
2022-02-03,190.01
2022-02-04,189.59
2022-02-07,186.34
2022-02-08,186.81
2022-02-09,189.03
2022-02-10,190.11
2022-02-11,188.0
2022-02-14,182.59
2022-02-15,187.59
2022-02-16,187.14
2022-02-17,186.93
2022-02-18,186.64
2022-02-21,186.29
2022-02-22,185.27
2022-02-23,185.05
2022-02-24,178.36
2022-02-25,180.85
2022-02-28,181.84
2022-03-02,180.1
2022-03-03,178.86
2022-03-04,176.26
2022-03-07,172.33
2022-03-08,173.4
2022-03-09,176.98
2022-03-10,179.65
2022-03-11,179.98
2022-03-14,182.61
2022-03-15,180.6
2022-03-16,183.66
2022-03-17,186.71
2022-03-21,185.38
2022-03-22,187.34
2022-03-23,186.34
2022-03-24,186.09
2022-03-25,185.82
2022-03-28,186.32
2022-03-29,187.22
2022-03-30,188.91
2022-03-31,188.87
2022-04-01,190.47
2022-04-04,195.19
2022-04-05,194.55
2022-04-06,193.0
2022-04-07,191.26
2022-04-08,192.76
2022-04-11,191.67
2022-04-12,190.42
2022-04-13,189.54
2022-04-18,186.23
2022-04-19,183.68
2022-04-20,185.86
2022-04-21,188.1
2022-04-22,186.09
2022-04-25,183.86
2022-04-26,186.11
2022-04-27,184.78
2022-04-28,186.41
2022-04-29,185.43
2022-05-02,185.12
2022-05-04,181.05
2022-05-05,181.01
2022-05-06,177.94
2022-05-09,176.95
2022-05-10,176.16
2022-05-11,175.34
2022-05-12,171.72
2022-05-13,171.4
2022-05-16,172.13
2022-05-17,176.44
2022-05-18,176.05
2022-05-19,171.7
2022-05-20,175.92
2022-05-23,175.53
2022-05-24,175.09
2022-05-25,174.13
2022-05-26,175.57
2022-05-27,177.1
2022-05-30,180.43
2022-05-31,179.87
2022-06-01,179.59
2022-06-02,180.68
2022-06-03,180.21
2022-06-06,180.15
2022-06-07,178.56
2022-06-08,178.08
2022-06-09,179.4
2022-06-10,176.46
2022-06-13,171.87
2022-06-14,171.3
2022-06-15,171.1
2022-06-16,167.56
2022-06-17,166.87
2022-06-20,167.31
2022-06-21,170.26
2022-06-22,168.08
2022-06-23,169.71
2022-06-24,171.16
2022-06-27,172.62
2022-06-28,172.65
2022-06-29,171.86
2022-06-30,171.6
2022-07-01,171.64
2022-07-04,172.63
2022-07-05,172.04
2022-07-06,174.12
2022-07-07,175.54
2022-07-08,176.28
2022-07-11,176.23
2022-07-12,175.1
2022-07-13,174.06
2022-07-14,173.93
2022-07-15,175.02
2022-07-18,177.39
2022-07-19,177.88
2022-07-20,179.53
2022-07-21,180.54
2022-07-22,181.89
2022-07-25,181.46
2022-07-26,179.91
2022-07-27,181.6
2022-07-28,184.18
2022-07-29,186.54
2022-08-01,188.63
2022-08-02,188.62
2022-08-03,189.11
2022-08-04,189.17
2022-08-05,189.25
2022-08-08,190.79
2022-08-10,191.04
2022-08-11,192.34
2022-08-12,192.86
2022-08-16,194.09
2022-08-17,195.55
2022-08-18,195.71
2022-08-19,193.61
2022-08-22,190.95
2022-08-23,192.19
2022-08-24,192.63
2022-08-25,191.78
2022-08-26,191.92
2022-08-29,189.44
2022-08-30,193.92
2022-09-01,191.82
2022-09-02,191.61
2022-09-05,192.98
2022-09-06,192.48
2022-09-07,192.37
2022-09-08,194.0
2022-09-09,194.6
2022-09-12,195.64
2022-09-13,196.95
2022-09-14,196.27
2022-09-15,195.69
2022-09-16,191.9
2022-09-19,192.75
2022-09-20,194.44
2022-09-21,193.5
2022-09-22,192.92
2022-09-23,189.64
2022-09-26,186.21
2022-09-27,186.05
2022-09-28,184.47
2022-09-29,184.07
2022-09-30,186.83
2022-10-03,184.25
2022-10-04,188.29
2022-10-06,188.94
2022-10-07,189.19
2022-10-10,188.75
2022-10-11,185.87
2022-10-12,187.21
2022-10-13,186.23
2022-10-14,188.02
2022-10-17,188.83
2022-10-18,190.64
2022-10-19,190.83
2022-10-20,191.44
2022-10-21,191.52
2022-10-24,193.17
2022-10-25,192.49
2022-10-27,193.45
2022-10-28,193.96
2022-10-31,196.27
2022-11-01,197.98
2022-11-02,197.41
2022-11-03,197.39
2022-11-04,197.77
2022-11-07,198.62
2022-11-09,198.32
2022-11-10,196.86
2022-11-11,200.22
2022-11-14,200.17
2022-11-15,200.91
2022-11-16,200.87
2022-11-17,200.2
2022-11-18,199.92
2022-11-21,198.55
2022-11-22,199.23
2022-11-23,199.51
2022-11-24,201.72
2022-11-25,202.35
2022-11-28,203.04
2022-11-29,203.43
2022-11-30,204.7
2022-12-01,205.54
2022-12-02,204.81
2022-12-05,204.44
2022-12-06,204.14
2022-12-07,202.87
2022-12-08,203.62
2022-12-09,202.48
2022-12-12,202.61
2022-12-13,203.77
2022-12-14,204.35
2022-12-15,201.58
2022-12-16,200.16
2022-12-19,201.67
2022-12-20,201.21
2022-12-21,199.4
2022-12-22,198.55
2022-12-23,195.15
2022-12-26,197.23
2022-12-27,198.0
2022-12-28,197.99
2022-12-29,198.78
2022-12-30,198.04
2023-01-02,199.34
2023-01-03,199.68
2023-01-04,197.67
2023-01-05,197.07
2023-01-06,195.72
2023-01-09,198.28
2023-01-10,196.13
2023-01-11,196.13
2023-01-12,195.61
2023-01-13,196.61
2023-01-16,196.06
2023-01-17,197.47
2023-01-18,198.65
2023-01-19,198.43
2023-01-20,197.45
2023-01-23,198.44
2023-01-24,198.42
2023-01-25,196.04
2023-01-27,193.0
2023-01-30,193.25
2023-01-31,193.44
2023-02-01,193.13
2023-02-02,192.91
2023-02-03,195.12
2023-02-06,194.48
2023-02-07,194.04
2023-02-08,195.54
2023-02-09,195.89
2023-02-10,195.49
2023-02-13,194.6
2023-02-14,195.98
2023-02-15,197.08
2023-02-16,197.35
2023-02-17,196.3
2023-02-20,195.59
2023-02-21,195.26
2023-02-22,192.51
2023-02-23,192.01
2023-02-24,191.46
2023-02-27,190.56
2023-02-28,189.7
2023-03-01,191.28
2023-03-02,189.93
2023-03-03,192.51
2023-03-06,193.63
2023-03-08,193.95
2023-03-09,192.64
2023-03-10,190.75
2023-03-13,188.12
2023-03-14,186.91
2023-03-15,186.1
2023-03-16,186.23
2023-03-17,187.42
2023-03-20,186.2
2023-03-21,187.46
2023-03-22,187.88
2023-03-23,186.91
2023-03-24,185.68
2023-03-27,186.18
2023-03-28,185.71
2023-03-29,187.09
2023-03-31,189.86
2023-04-03,190.56
2023-04-05,192.19
2023-04-06,192.94
2023-04-10,192.64
2023-04-11,193.76
2023-04-12,194.64
2023-04-13,194.77
2023-04-17,193.91
2023-04-18,193.24
2023-04-19,192.86
2023-04-20,192.99
2023-04-21,192.85
2023-04-24,193.95
2023-04-25,194.13
2023-04-26,194.62
2023-04-27,195.93
2023-04-28,197.29
2023-05-02,198.39
2023-05-03,197.68
2023-05-04,199.44
2023-05-05,197.84
2023-05-08,199.71
2023-05-09,199.7
2023-05-10,200.0
2023-05-11,200.35
2023-05-12,200.26
2023-05-15,201.34
2023-05-16,200.51
2023-05-17,199.76
2023-05-18,199.05
2023-05-19,199.82
2023-05-22,200.74
2023-05-23,201.02
2023-05-24,200.24
2023-05-25,200.7
2023-05-26,202.85
2023-05-29,204.14
2023-05-30,204.36
2023-05-31,203.66
2023-06-01,202.99
2023-06-02,203.84
2023-06-05,204.28
2023-06-06,204.04
2023-06-07,205.34
2023-06-08,204.51
2023-06-09,204.03
2023-06-12,204.46
2023-06-13,205.45
2023-06-14,205.85
2023-06-15,205.31
2023-06-16,206.69
2023-06-19,205.87
2023-06-20,206.5
2023-06-21,206.87
2023-06-22,206.24
