datetime,open,high,low,close,volume
2021-05-25T00:00:00+05:30,89.95,89.95,83.5,84.55,41190
2021-05-26T00:00:00+05:30,84.5,86.0,84.5,84.8,15598
2021-05-27T00:00:00+05:30,85.5,87.9,84.1,84.5,15416
2021-05-28T00:00:00+05:30,86.0,86.0,83.5,83.55,29126
2021-05-31T00:00:00+05:30,85.0,85.8,83.3,83.75,32265
2021-06-01T00:00:00+05:30,83.5,84.85,83.3,84.05,19069
2021-06-02T00:00:00+05:30,85.0,85.5,82.05,84.65,13172
2021-06-03T00:00:00+05:30,84.85,88.0,84.05,85.0,31252
2021-06-04T00:00:00+05:30,86.0,86.0,84.2,85.0,29259
2021-06-07T00:00:00+05:30,86.0,86.0,84.55,84.75,14478
2021-06-08T00:00:00+05:30,82.85,85.5,82.85,85.2,6783
2021-06-09T00:00:00+05:30,86.5,86.5,85.1,85.45,29900
2021-06-10T00:00:00+05:30,86.5,87.5,84.95,86.7,105058
2021-06-11T00:00:00+05:30,87.0,87.5,86.3,86.95,17329
2021-06-14T00:00:00+05:30,87.0,87.5,86.1,87.3,33665
2021-06-15T00:00:00+05:30,88.0,88.0,86.8,86.85,122481
2021-06-16T00:00:00+05:30,86.85,88.0,86.4,86.7,4717
2021-06-17T00:00:00+05:30,86.7,87.5,85.4,85.8,70480
2021-06-18T00:00:00+05:30,86.6,86.8,84.55,85.6,11272
2021-06-21T00:00:00+05:30,86.0,86.0,84.65,84.95,11395
2021-06-22T00:00:00+05:30,86.0,86.0,84.95,85.4,122060
2021-06-23T00:00:00+05:30,85.9,86.0,85.0,85.0,6946
2021-06-24T00:00:00+05:30,85.0,85.2,84.7,84.85,12885
2021-06-25T00:00:00+05:30,85.05,86.49,85.01,85.92,9007
2021-06-28T00:00:00+05:30,85.6,87.0,85.1,86.8,12817
2021-06-29T00:00:00+05:30,86.8,87.6,86.8,87.55,11535
2021-06-30T00:00:00+05:30,88.25,88.25,87.55,87.85,14794
2021-07-01T00:00:00+05:30,88.25,94.0,87.8,88.3,41934
2021-07-02T00:00:00+05:30,88.85,89.2,88.55,88.85,15598
2021-07-05T00:00:00+05:30,89.0,90.0,89.0,89.0,16093
2021-07-06T00:00:00+05:30,90.25,90.9,88.6,88.75,10718
2021-07-07T00:00:00+05:30,88.5,90.0,88.0,88.95,5936
2021-07-08T00:00:00+05:30,88.95,89.95,87.8,87.9,15846
2021-07-09T00:00:00+05:30,87.8,88.55,87.8,88.55,16859
2021-07-12T00:00:00+05:30,89.9,89.9,87.35,88.15,8215
2021-07-13T00:00:00+05:30,88.45,89.45,88.15,88.8,4874
2021-07-14T00:00:00+05:30,88.8,89.0,88.6,88.9,3566
2021-07-15T00:00:00+05:30,88.6,89.6,88.6,88.9,5079
2021-07-16T00:00:00+05:30,88.9,90.0,88.9,89.45,112242
2021-07-19T00:00:00+05:30,90.0,90.0,88.05,89.75,5055
2021-07-20T00:00:00+05:30,89.5,90.0,89.0,89.05,11163
2021-07-22T00:00:00+05:30,89.0,90.0,89.0,89.75,6028
2021-07-23T00:00:00+05:30,89.75,90.05,89.35,89.85,4140
2021-07-26T00:00:00+05:30,88.35,90.2,88.35,90.15,105670
2021-07-27T00:00:00+05:30,90.3,90.7,87.2,87.95,76258
2021-07-28T00:00:00+05:30,89.5,89.5,86.45,86.7,27416
2021-07-29T00:00:00+05:30,86.95,88.5,86.6,86.95,6810
2021-07-30T00:00:00+05:30,86.96,88.56,86.5,87.59,45548
2021-08-02T00:00:00+05:30,87.63,89.65,87.63,89.61,18507
2021-08-03T00:00:00+05:30,90.5,90.5,89.1,90.16,27740
2021-08-04T00:00:00+05:30,90.9,91.0,89.05,89.76,22592
2021-08-05T00:00:00+05:30,89.0,91.0,89.0,90.18,8599
2021-08-06T00:00:00+05:30,90.25,90.95,89.8,90.23,9648
2021-08-09T00:00:00+05:30,91.0,91.48,89.65,89.74,3260
2021-08-10T00:00:00+05:30,89.74,91.0,89.74,90.13,22442
