Date,close
2021-08-30,107.72
2021-08-31,108.71
2021-09-01,109.34
2021-09-02,110.58
2021-09-03,110.69
2021-09-06,111.26
2021-09-07,110.84
2021-09-08,110.67
2021-09-09,111.5
2021-09-13,112.22
2021-09-14,113.74
2021-09-15,114.75
2021-09-16,115.05
2021-09-17,113.75
2021-09-20,111.86
2021-09-21,111.8
2021-09-22,114.0
2021-09-23,115.34
2021-09-24,114.51
2021-09-27,114.53
2021-09-28,113.83
2021-09-29,114.22
2021-09-30,114.71
2021-10-01,115.13
2021-10-04,116.84
2021-10-05,117.61
2021-10-06,116.6
2021-10-07,118.7
2021-10-08,118.86
2021-10-11,119.32
2021-10-12,120.25
2021-10-13,121.9
2021-10-14,122.61
2021-10-18,123.87
2021-10-19,121.63
2021-10-20,118.73
2021-10-21,117.94
2021-10-22,117.16
2021-10-25,115.6
2021-10-26,116.89
2021-10-27,117.26
2021-10-28,115.58
2021-10-29,115.7
2021-11-01,116.8
2021-11-02,118.49
2021-11-03,118.22
2021-11-04,119.06
2021-11-08,120.27
2021-11-09,121.68
2021-11-10,121.29
2021-11-11,120.14
2021-11-12,121.13
2021-11-15,121.15
2021-11-16,121.26
2021-11-17,120.86
2021-11-18,119.0
2021-11-22,115.81
2021-11-23,117.56
2021-11-24,117.11
2021-11-25,117.76
2021-11-26,114.29
2021-11-29,113.12
2021-11-30,114.36
2021-12-01,114.29
2021-12-02,115.91
2021-12-03,116.32
2021-12-06,114.71
2021-12-07,116.06
2021-12-08,117.57
2021-12-09,117.99
2021-12-10,119.16
2021-12-13,119.29
2021-12-14,118.89
2021-12-15,118.33
2021-12-16,117.48
2021-12-17,114.61
2021-12-20,111.2
2021-12-21,112.54
2021-12-22,113.73
2021-12-23,115.1
2021-12-24,114.09
2021-12-27,114.43
2021-12-28,115.15
2021-12-29,115.93
2021-12-30,115.89
2021-12-31,117.14
2022-01-03,118.59
2022-01-04,118.82
2022-01-05,118.63
2022-01-06,118.71
2022-01-07,119.21
2022-01-10,119.68
2022-01-11,119.94
2022-01-12,121.0
2022-01-13,121.74
2022-01-14,122.0
2022-01-17,122.12
2022-01-18,120.23
2022-01-19,119.75
2022-01-20,119.27
2022-01-21,117.3
2022-01-24,113.45
2022-01-25,114.07
2022-01-27,112.78
2022-01-28,114.16
2022-01-31,115.4
2022-02-01,117.6
2022-02-02,118.48
2022-02-03,117.26
2022-02-04,116.49
2022-02-07,115.59
2022-02-08,114.54
2022-02-09,115.73
2022-02-10,116.02
2022-02-11,113.95
2022-02-15,111.66
2022-02-16,111.59
2022-02-17,111.41
2022-02-18,110.97
2022-02-21,109.91
2022-02-22,108.91
2022-02-23,108.59
