Date,close
2021-08-30,425.38
2021-08-31,431.66
2021-09-01,434.41
2021-09-02,439.0
2021-09-03,442.61
2021-09-06,441.9
2021-09-07,439.43
2021-09-08,439.95
2021-09-09,441.93
2021-09-13,443.61
2021-09-14,444.33
2021-09-15,445.87
2021-09-16,450.36
2021-09-17,446.35
2021-09-20,437.99
2021-09-21,443.98
2021-09-22,445.96
2021-09-23,449.62
2021-09-24,446.62
2021-09-27,446.17
2021-09-28,442.23
2021-09-29,439.84
2021-09-30,439.26
2021-10-01,439.69
2021-10-04,446.31
2021-10-05,449.67
2021-10-06,445.65
2021-10-07,449.69
2021-10-08,449.01
2021-10-11,451.02
2021-10-12,452.49
2021-10-13,457.85
2021-10-14,461.68
2021-10-18,463.19
2021-10-19,457.8
2021-10-20,447.6
2021-10-21,444.47
2021-10-22,439.31
2021-10-25,434.33
2021-10-26,441.53
2021-10-27,443.24
2021-10-28,436.2
2021-10-29,436.29
2021-11-01,442.43
2021-11-02,442.89
2021-11-03,442.73
2021-11-04,448.66
2021-11-08,453.1
2021-11-09,454.3
2021-11-10,455.05
2021-11-11,453.53
2021-11-12,457.77
2021-11-15,458.97
2021-11-16,458.72
2021-11-17,459.54
2021-11-18,452.77
2021-11-22,445.62
2021-11-23,453.06
2021-11-24,448.8
2021-11-25,452.65
2021-11-26,440.45
2021-11-29,435.11
2021-11-30,435.44
2021-12-01,435.42
2021-12-02,439.96
2021-12-03,440.05
2021-12-06,432.02
2021-12-07,437.94
2021-12-08,443.31
2021-12-09,441.82
2021-12-10,444.97
2021-12-13,444.45
2021-12-14,444.31
2021-12-15,441.58
2021-12-16,440.0
2021-12-17,430.2
2021-12-20,419.87
2021-12-21,425.51
2021-12-22,429.97
2021-12-23,433.96
2021-12-24,431.98
2021-12-27,433.39
2021-12-28,436.46
2021-12-29,435.84
2021-12-30,432.53
2021-12-31,438.38
2022-01-03,443.08
2022-01-04,442.72
2022-01-05,442.57
2022-01-06,442.24
2022-01-07,443.67
2022-01-10,445.44
2022-01-11,447.05
2022-01-12,447.71
2022-01-13,450.92
2022-01-14,453.23
2022-01-17,454.89
2022-01-18,447.2
2022-01-19,445.45
2022-01-20,446.9
2022-01-21,439.09
2022-01-24,426.33
2022-01-25,427.15
2022-01-27,420.03
2022-01-28,421.66
2022-01-31,428.46
2022-02-01,434.78
2022-02-02,439.95
2022-02-03,437.09
2022-02-04,437.76
2022-02-07,434.39
2022-02-08,432.39
2022-02-09,436.9
2022-02-10,438.91
2022-02-11,432.97
2022-02-14,418.41
2022-02-15,426.13
2022-02-16,425.89
2022-02-17,426.21
2022-02-18,423.71
2022-02-21,418.03
2022-02-22,415.55
2022-02-23,421.4
2022-02-24,399.89
2022-02-25,412.76
2022-02-28,415.38
2022-03-02,417.73
2022-03-03,417.44
2022-03-04,407.17
2022-03-07,396.58
2022-03-08,400.03
2022-03-09,408.15
2022-03-10,415.23
2022-03-11,418.52
2022-03-14,416.94
2022-03-15,413.25
2022-03-16,420.86
2022-03-17,427.32
2022-03-21,422.16
2022-03-22,423.63
2022-03-23,424.39
2022-03-24,425.54
2022-03-25,425.24
2022-03-28,424.46
2022-03-29,426.8
2022-03-30,428.49
2022-03-31,427.77
2022-04-01,432.98
2022-04-04,440.86
2022-04-05,444.73
2022-04-06,447.43
2022-04-07,446.16
2022-04-08,452.32
2022-04-11,456.51
2022-04-12,452.52
2022-04-13,453.75
2022-04-18,450.91
2022-04-19,454.88
2022-04-20,445.48
2022-04-21,450.47
2022-04-22,448.33
2022-04-25,440.05
2022-04-26,447.03
2022-04-27,444.26
2022-04-28,449.54
2022-04-29,445.39
2022-05-02,442.04
2022-05-04,430.63
2022-05-05,431.56
2022-05-06,423.46
2022-05-09,413.56
2022-05-10,404.7
2022-05-11,403.61
2022-05-12,395.13
2022-05-13,394.0
2022-05-16,397.48
2022-05-17,405.06
2022-05-18,407.16
2022-05-19,397.53
2022-05-20,403.36
2022-05-23,399.95
2022-05-24,395.76
2022-05-25,390.21
2022-05-26,393.0
2022-05-27,396.9
2022-05-30,405.46
2022-05-31,405.74
2022-06-01,402.56
2022-06-02,405.47
2022-06-03,399.42
2022-06-06,398.77
2022-06-07,395.19
2022-06-08,394.35
2022-06-09,397.25
2022-06-10,393.68
2022-06-13,385.25
2022-06-14,386.17
2022-06-15,386.74
2022-06-16,379.16
2022-06-17,373.01
2022-06-20,370.34
2022-06-21,380.59
2022-06-22,373.11
2022-06-23,376.09
2022-06-24,380.55
2022-06-27,384.59
2022-06-28,385.38
2022-06-29,382.96
2022-06-30,380.72
2022-07-01,385.68
2022-07-04,389.07
2022-07-05,390.17
2022-07-06,395.49
2022-07-07,398.84
2022-07-08,399.86
2022-07-11,406.25
2022-07-12,405.97
2022-07-13,406.19
2022-07-14,403.82
2022-07-15,406.77
2022-07-18,411.89
2022-07-19,413.94
2022-07-20,415.64
2022-07-21,420.0
2022-07-22,419.4
2022-07-25,419.55
2022-07-26,414.3
2022-07-27,417.3
2022-07-28,422.24
2022-07-29,426.8
2022-08-01,432.99
2022-08-02,437.3
2022-08-03,434.4
2022-08-04,436.18
2022-08-05,436.36
2022-08-08,438.3
2022-08-10,436.95
2022-08-11,440.09
2022-08-12,442.28
2022-08-16,447.34
2022-08-17,453.58
2022-08-18,456.33
2022-08-19,452.75
2022-08-22,443.67
2022-08-23,444.62
2022-08-24,447.39
2022-08-25,448.69
2022-08-26,449.73
2022-08-29,447.19
2022-08-30,457.44
2022-09-01,457.02
2022-09-02,457.07
2022-09-05,456.5
2022-09-06,458.7
2022-09-07,461.2
2022-09-08,462.32
2022-09-09,462.11
2022-09-12,467.55
2022-09-13,470.88
2022-09-14,473.57
2022-09-15,475.57
2022-09-16,463.34
2022-09-19,463.38
2022-09-20,469.22
2022-09-21,461.13
2022-09-22,462.44
2022-09-23,455.15
2022-09-26,442.45
2022-09-27,443.16
2022-09-28,440.87
2022-09-29,439.66
2022-09-30,444.16
2022-10-03,434.72
2022-10-04,443.16
2022-10-06,447.64
2022-10-07,446.01
2022-10-10,443.0
2022-10-11,434.76
2022-10-12,438.33
2022-10-13,433.71
2022-10-14,432.81
2022-10-17,435.13
2022-10-18,438.87
2022-10-19,438.18
2022-10-20,441.78
2022-10-21,436.84
2022-10-24,443.5
2022-10-25,439.33
2022-10-27,443.04
2022-10-28,441.18
2022-10-31,445.26
2022-11-01,449.99
2022-11-02,449.79
2022-11-03,450.96
2022-11-04,451.45
2022-11-07,453.95
2022-11-09,452.0
2022-11-10,447.8
2022-11-11,451.92
2022-11-14,454.88
2022-11-15,455.89
2022-11-16,452.15
2022-11-17,448.86
2022-11-18,446.55
2022-11-21,444.46
2022-11-22,445.43
2022-11-23,445.89
2022-11-24,446.94
2022-11-25,448.84
2022-11-28,449.97
2022-11-29,452.26
2022-11-30,455.19
2022-12-01,459.02
2022-12-02,459.06
2022-12-05,459.64
2022-12-06,459.71
2022-12-07,460.22
2022-12-08,461.24
2022-12-09,458.35
2022-12-12,458.26
2022-12-13,457.91
2022-12-14,459.7
2022-12-15,457.08
2022-12-16,450.76
2022-12-19,454.47
2022-12-20,452.55
2022-12-21,446.99
2022-12-22,442.94
2022-12-23,427.14
2022-12-26,437.32
2022-12-27,441.06
2022-12-28,442.1
2022-12-29,441.59
2022-12-30,443.26
2023-01-02,442.03
2023-01-03,444.45
2023-01-04,439.04
2023-01-05,441.74
2023-01-06,438.46
2023-01-09,441.62
2023-01-10,440.34
2023-01-11,438.86
2023-01-12,439.17
2023-01-13,441.45
2023-01-16,440.86
2023-01-17,441.46
2023-01-18,441.9
2023-01-19,439.64
2023-01-20,438.05
2023-01-23,438.6
2023-01-24,438.56
2023-01-25,427.51
2023-01-27,427.16
2023-01-30,406.94
2023-01-31,411.28
2023-02-01,409.18
2023-02-02,403.61
2023-02-03,403.29
2023-02-06,405.05
2023-02-07,405.77
2023-02-08,411.69
2023-02-09,406.93
2023-02-10,406.22
2023-02-13,400.68
2023-02-14,399.6
2023-02-15,401.85
2023-02-16,406.31
2023-02-17,401.67
2023-02-20,402.7
2023-02-21,401.72
2023-02-22,401.54
2023-02-23,394.21
2023-02-24,393.33
2023-02-27,390.45
2023-02-28,390.8
2023-03-01,394.61
2023-03-02,394.72
2023-03-03,397.99
2023-03-06,402.58
2023-03-08,405.04
2023-03-09,400.99
2023-03-10,398.62
2023-03-13,400.53
2023-03-14,391.67
2023-03-15,392.52
2023-03-16,394.28
2023-03-17,396.83
2023-03-20,392.44
2023-03-21,394.16
2023-03-22,399.54
2023-03-23,397.93
2023-03-24,394.54
2023-03-27,391.73
2023-03-28,387.78
2023-03-29,390.76
2023-03-31,395.12
2023-04-03,396.78
2023-04-05,399.31
2023-04-06,401.03
2023-04-10,401.42
2023-04-11,402.15
2023-04-12,403.32
2023-04-13,404.18
2023-04-17,405.33
2023-04-18,405.96
2023-04-19,403.8
2023-04-20,403.72
2023-04-21,403.91
2023-04-24,404.98
2023-04-25,406.52
2023-04-26,407.89
2023-04-27,408.59
2023-04-28,412.9
2023-05-02,419.84
2023-05-03,417.61
2023-05-04,419.91
2023-05-05,420.48
2023-05-08,422.02
2023-05-09,422.13
2023-05-10,423.85
2023-05-11,427.13
2023-05-12,427.85
2023-05-15,429.6
2023-05-16,430.27
2023-05-17,427.1
2023-05-18,423.02
2023-05-19,425.27
2023-05-22,429.53
2023-05-23,430.6
2023-05-24,430.13
2023-05-25,431.33
2023-05-26,435.99
2023-05-29,438.23
2023-05-30,439.73
2023-05-31,441.52
2023-06-01,442.54
2023-06-02,443.63
2023-06-05,443.84
2023-06-06,445.76
2023-06-07,450.8
2023-06-08,448.42
2023-06-09,447.91
2023-06-12,449.71
2023-06-13,453.29
2023-06-14,455.16
2023-06-15,455.33
2023-06-16,459.99
2023-06-19,458.28
2023-06-20,458.98
2023-06-21,459.9
2023-06-22,455.34
2023-06-23,449.66
