Date,close
2021-08-30,56889.7617
2021-08-31,57552.3906
2021-09-01,57338.2109
2021-09-02,57852.5391
2021-09-03,58129.9492
2021-09-06,58296.9102
2021-09-07,58279.4805
2021-09-08,58250.2617
2021-09-09,58305.0703
2021-09-13,58177.7617
2021-09-14,58247.0898
2021-09-15,58723.1992
2021-09-16,59141.1602
2021-09-17,59015.8906
2021-09-20,58490.9297
2021-09-21,59005.2695
2021-09-22,58927.3281
2021-09-23,59885.3594
2021-09-24,60048.4688
2021-09-27,60077.8789
2021-09-28,59667.6016
2021-09-29,59413.2695
2021-09-30,59126.3594
2021-10-01,58765.5781
2021-10-04,59299.3203
2021-10-05,59744.8789
2021-10-06,59189.7305
2021-10-07,59677.8281
2021-10-08,60059.0586
2021-10-11,60135.7812
2021-10-12,60284.3086
2021-10-13,60737.0508
2021-10-14,61305.9492
2021-10-18,61765.5898
2021-10-19,61716.0508
2021-10-20,61259.9609
2021-10-21,60923.5
2021-10-22,60821.6211
2021-10-25,60967.0508
2021-10-26,61350.2617
2021-10-27,61143.3281
2021-10-28,59984.6992
2021-10-29,59306.9297
2021-11-01,60138.4609
2021-11-02,60029.0586
2021-11-03,59771.9219
2021-11-04,60067.6211
2021-11-08,60545.6094
2021-11-09,60433.4492
2021-11-10,60352.8203
2021-11-11,59919.6914
2021-11-12,60686.6914
2021-11-15,60718.7109
2021-11-16,60322.3711
2021-11-17,60008.3281
2021-11-18,59636.0117
2021-11-22,58465.8906
2021-11-23,58664.3281
2021-11-24,58340.9883
2021-11-25,58795.0898
2021-11-26,57107.1484
2021-11-29,57260.5781
2021-11-30,57064.8711
2021-12-01,57684.7891
2021-12-02,58461.2891
2021-12-03,57696.4609
2021-12-06,56747.1406
2021-12-07,57633.6484
2021-12-08,58649.6797
2021-12-09,58807.1289
2021-12-10,58786.6719
2021-12-13,58283.4219
2021-12-14,58117.0898
2021-12-15,57788.0312
2021-12-16,57901.1406
2021-12-17,57011.7383
2021-12-20,55822.0117
2021-12-21,56319.0117
2021-12-22,56930.5586
2021-12-23,57315.2812
2021-12-24,57124.3086
2021-12-27,57420.2383
2021-12-28,57897.4805
2021-12-29,57806.4883
2021-12-30,57794.3203
2021-12-31,58253.8203
2022-01-03,59183.2188
2022-01-04,59855.9297
2022-01-05,60223.1484
2022-01-06,59601.8398
2022-01-07,59744.6484
2022-01-10,60395.6289
2022-01-11,60616.8906
2022-01-12,61150.0391
2022-01-13,61235.3008
2022-01-14,61223.0312
2022-01-17,61308.9102
2022-01-18,60754.8594
2022-01-19,60098.8203
2022-01-20,59464.6211
2022-01-21,59037.1797
2022-01-24,57491.5117
2022-01-25,57858.1484
2022-01-27,57276.9414
2022-01-28,57200.2305
2022-01-31,58014.1719
2022-02-01,58862.5703
2022-02-02,59558.3281
2022-02-03,58788.0195
2022-02-04,58644.8203
2022-02-07,57621.1914
2022-02-08,57808.5781
2022-02-09,58465.9688
2022-02-10,58926.0312
2022-02-11,58152.9219
2022-02-14,56405.8398
2022-02-15,58142.0508
2022-02-16,57996.6797
2022-02-17,57892.0117
2022-02-18,57832.9688
2022-02-21,57683.5898
2022-02-22,57300.6797
2022-02-23,57232.0586
2022-02-24,54529.9102
2022-02-25,55858.5195
2022-02-28,56247.2812
2022-03-02,55468.8984
2022-03-03,55102.6797
2022-03-04,54333.8086
2022-03-07,52842.75
2022-03-08,53424.0898
2022-03-09,54647.3281
2022-03-10,55464.3906
2022-03-11,55550.3008
2022-03-14,56486.0195
2022-03-15,55776.8516
2022-03-16,56816.6484
2022-03-17,57863.9297
2022-03-21,57292.4883
2022-03-22,57989.3008
2022-03-23,57684.8203
2022-03-24,57595.6797
2022-03-25,57362.1992
2022-03-28,57593.4883
2022-03-29,57943.6484
2022-03-30,58683.9883
2022-03-31,58568.5117
2022-04-01,59276.6914
2022-04-04,60611.7383
2022-04-05,60176.5
2022-04-06,59610.4102
2022-04-07,59034.9492
2022-04-08,59447.1797
2022-04-11,58964.5703
2022-04-12,58576.3711
2022-04-13,58338.9297
2022-04-18,57166.7383
2022-04-19,56463.1484
2022-04-20,57037.5
2022-04-21,57911.6797
2022-04-22,57197.1484
2022-04-25,56579.8906
2022-04-26,57356.6094
2022-04-27,56819.3906
2022-04-28,57521.0586
2022-04-29,57060.8711
2022-05-02,56975.9883
2022-05-04,55669.0312
2022-05-05,55702.2305
2022-05-06,54835.5781
2022-05-09,54470.6719
2022-05-10,54364.8516
2022-05-11,54088.3906
2022-05-12,52930.3086
2022-05-13,52793.6211
2022-05-16,52973.8398
2022-05-17,54318.4688
2022-05-18,54208.5312
2022-05-19,52792.2305
2022-05-20,54326.3906
2022-05-23,54288.6094
2022-05-24,54052.6094
2022-05-25,53749.2617
2022-05-26,54252.5312
2022-05-27,54884.6602
2022-05-30,55925.7383
